Year,sol
1850,3
1851,2
1852,1
1853,0
1854,0
1855,0
1856,39
1857,60
1858,26
1859,11
1860,4
1861,3
1862,14
1863,10
1864,4
1865,2
1866,1
1867,0
1868,0
1869,0
1870,0
1871,0
1872,1
1873,3
1874,2
1875,0
1876,6
1877,5
1878,3
1879,2
1880,1
1881,0
1882,0
1883,21
1884,81
1885,125
1886,78
1887,16
1888,31
1889,37
1890,43
1891,26
1892,18
1893,0
1894,0
1895,0
1896,29
1897,22
1898,3
1899,0
1900,0
1901,0
1902,12
1903,55
1904,27
1905,15
1906,10
1907,10
1908,6
1909,3
1910,2
1911,1
1912,32
1913,21
1914,4
1915,1
1916,2
1917,2
1918,2
1919,2
1920,9
1921,3
1922,0
1923,0
1924,3
1925,2
1926,1
1927,0
1928,5
1929,10
1930,5
1931,3
1932,8
1933,6
1934,3
1935,4
1936,2
1937,2
1938,5
1939,3
1940,2
1941,0
1942,4
1943,3
1944,1
1945,2
1946,1
1947,1
1948,0
1949,3
1950,1
1951,1
1952,3
1953,3
1954,3
1955,1
1956,0
1957,0
1958,0
1959,0
1960,5
1961,7
1962,8
1963,53
1964,72
1965,27
1966,25
1967,17
1968,32
1969,41
1970,19
1971,2
1972,3
1973,8
1974,13
1975,22
1976,2
1977,1
1978,7
1979,4
1980,4
1981,5
1982,46
1983,55
1984,16
1985,13
1986,13
1987,10
1988,7
1989,6
1990,6
