Year	Albedo
2017	0.410059809
2018	0.409285447
2019	0.408511086
2020	0.407736724
2021	0.406962363
2022	0.406188001
2023	0.40541364
2024	0.404639279
2025	0.403864917
2026	0.403090556
2027	0.402316194
2028	0.401541833
2029	0.400767471
2030	0.39999311
2031	0.399218748
2032	0.398444387
2033	0.397670026
2034	0.396895664
2035	0.396121303
2036	0.395346941
2037	0.39457258
2038	0.393798218
2039	0.393023857
2040	0.392249496
2041	0.391475134
2042	0.390700773
2043	0.389926411
2044	0.38915205
2045	0.388377688
2046	0.387603327
2047	0.386828965
2048	0.386054604
2049	0.385280243
2050	0.384505881
2051	0.38373152
2052	0.382957158
2053	0.382182797
2054	0.381408435
2055	0.380634074
2056	0.379859713
2057	0.379085351
2058	0.37831099
2059	0.377536628
2060	0.376762267
2061	0.375987905
2062	0.375213544
2063	0.374439182
2064	0.373664821
2065	0.37289046
2066	0.372116098
2067	0.371341737
2068	0.370567375
2069	0.369793014
2070	0.369018652
2071	0.368244291
2072	0.36746993
2073	0.366695568
2074	0.365921207
2075	0.365146845
2076	0.364372484
2077	0.363598122
2078	0.362823761
2079	0.362049399
2080	0.361275038
2081	0.360500677
2082	0.359726315
2083	0.358951954
2084	0.358177592
2085	0.357403231
2086	0.356628869
2087	0.355854508
2088	0.355080147
2089	0.354305785
2090	0.353531424
2091	0.352757062
2092	0.351982701
2093	0.351208339
2094	0.350433978
2095	0.349659616
2096	0.348885255
2097	0.348110894
2098	0.347336532
2099	0.346562171
2100	0.345787809
