Year,Degrees C,,,,,,
1958,0.06,,,,,,
1959,0.03,,,,,,
1960,-0.03,,,,,,
1961,0.06,,,,,,
1962,0.03,,,,,,
1963,0.05,,,,,,
1964,-0.20,,,,,,
1965,-0.11,,,,,,
1966,-0.06,,,,,,
1967,-0.02,,,,,,
1968,-0.08,,,,,,
1969,0.05,,,,,,
1970,0.03,,,,,,
1971,-0.08,,,,,,
1972,0.01,,,,,,
1973,0.16,,,,,,
1974,-0.07,,,,,,
1975,-0.01,,,,,,
1976,-0.10,,,,,,
1977,0.18,,,,,,
1978,0.07,,,,,,
1979,0.16,,,,,,
1980,0.26,,,,,,
1981,0.32,,,,,,
1982,0.14,,,,,,
1983,0.31,,,,,,
1984,0.16,,,,,,
1985,0.12,,,,,,
1986,0.18,,,,,,
1987,0.32,,,,,,
1988,0.39,,,,,,
1989,0.27,,,,,,
1990,0.45,,,,,,
1991,0.40,,,,,,
1992,0.22,,,,,,
1993,0.23,,,,,,
1994,0.32,,,,,,
1995,0.45,,,,,,
1996,0.33,,,,,,
1997,0.46,,,,,,
1998,0.61,,,,,,
1999,0.38,,,,,,
2000,0.39,,,,,,
2001,0.53,,,,,,
2002,0.63,,,,,,
2003,0.62,,,,,,
2004,0.53,,,,,,
2005,0.67,,,,,,
2006,0.63,,,,,,
2007,0.66,,,,,,
2008,0.54,,,,,,
2009,0.65,,,,,,
2010,0.72,,,,,,
2011,0.61,,,,,,
2012,0.65,,,,,,
2013,0.67,,,,,,
2014,0.74,,,,,,
2015,0.89,,,,,,
2016,1.01,,,,,,
2017,0.92,,,,,,
2018,0.84,,,,,,
2019,0.97,,,,,,
2020,1.02,,,,,,
2021,0.84,,,,,,
