Brand,name,Interface,Protocol,capacity (G),read,write,TBW,price,Additional
Samsung,980 PRO,PCIe 4.0x4,NVMe M.2,500,6900,5000,600,699,30
Samsung,980 PRO,PCIe 4.0x4,NVMe M.2,1000,7000,5000,600,1199,30
Samsung,980 PRO,PCIe 4.0x4,NVMe M.2,2000,7000,5100,600,2499,30
Samsung,970 EVO plus,PCIe 3.0x4,NVMe M.2,250,3500,2300,150,319,18
Samsung,970 EVO plus,PCIe 3.0x4,NVMe M.2,500,3500,3200,300,429,18
Samsung,970 EVO plus,PCIe 3.0x4,NVMe M.2,1000,3500,3300,600,849,18
Samsung,970 EVO plus,PCIe 3.0x4,NVMe M.2,2000,3500,3300,1200,1599,18
Samsung,980,PCIe 3.0x4,NVMe M.2,250,2900,1300,150,299,12
Samsung,980,PCIe 3.0x4,NVMe M.2,500,3100,2600,300,399,12
Samsung,980,PCIe 3.0x4,NVMe M.2,1000,3500,3000,600,769,12
Samsung,970 PRO,PCIe 3.0x4,NVMe M.2,500,3500,2300,600,1199,
Samsung,970 PRO,PCIe 3.0x4,NVMe M.2,1000,3500,2700,1200,799,
Samsung,860 EVO,PCIe 3.0x4,SATA M.2,500,550,520,300,569,
Western Digital,SN850,PCIe 4.0x4,NVMe M.2,500,7000,4100,300,699,24
Western Digital,SN850,PCIe 4.0x4,NVMe M.2,1000,7000,5300,600,1099,24
Western Digital,SN850,PCIe 4.0x4,NVMe M.2,2000,7000,5100,1200,2399,24
Western Digital,SN770,PCIe 4.0x4,NVMe M.2,250,4000,2000,200,299,
Western Digital,SN770,PCIe 4.0x4,NVMe M.2,500,5000,4000,300,399,
Western Digital,SN770,PCIe 4.0x4,NVMe M.2,1000,5150,4900,600,779,
Western Digital,SN770,PCIe 4.0x4,NVMe M.2,2000,5150,4850,1200,1699,
Western Digital,SN750,PCIe 3.0x4,NVMe M.2,250,3100,1600,200,389,
Western Digital,SN750,PCIe 3.0x4,NVMe M.2,500,3470,2600,300,579,
Western Digital,SN750,PCIe 3.0x4,NVMe M.2,1000,3470,3000,600,1019,
Western Digital,SN750,PCIe 3.0x4,NVMe M.2,2000,3400,2900,1200,1899,
Western Digital,SN750,PCIe 3.0x4,NVMe M.2,4000,3400,3100,2400,3813,
Western Digital,SN570,PCIe 3.0x4,NVMe M.2,250,3300,1200,150,299,
Western Digital,SN570,PCIe 3.0x4,NVMe M.2,500,3500,2300,300,359,9
Western Digital,SN570,PCIe 3.0x4,NVMe M.2,1000,3500,3000,600,659,9
Western Digital,SN570,PCIe 3.0x4,NVMe M.2,2000,3500,3500,900,1399,9
Western Digital,SN350,PCIe 3.0x4,NVMe M.2,240,2400,900,40,219,
Western Digital,SN350,PCIe 3.0x4,NVMe M.2,480,2400,1650,60,289,
Western Digital,SN350,PCIe 3.0x4,NVMe M.2,960,2400,1900,80,469,
Western Digital,SN350,PCIe 3.0x4,NVMe M.2,1000,3200,2500,100,499,
Western Digital,SN350,PCIe 3.0x4,NVMe M.2,2000,3200,3000,100,1099,
Sandisk,Extreme pro,PCIe 3.0x4,NVMe M.2,500,3400,2500,300,449,
Sandisk,Extreme pro,PCIe 3.0x4,NVMe M.2,1000,3400,2800,600,799,
Sandisk,Extreme pro,PCIe 3.0x4,NVMe M.2,2000,3400,2900,1200,1499,
Sandisk,unspecified model 1,PCIe 3.0x4,NVMe M.2,500,3500,2300,300,369,
Sandisk,unspecified model 1,PCIe 3.0x4,NVMe M.2,1000,3500,3000,600,649.9,
Sandisk,unspecified model 1,PCIe 3.0x4,NVMe M.2,2000,3500,3300,1200,1299,
Sandisk,unspecified model 2,PCIe 3.0x4,NVMe M.2,250,2400,950,150,239,
Sandisk,unspecified model 2,PCIe 3.0x4,NVMe M.2,500,2400,1750,300,249,
Sandisk,unspecified model 2,PCIe 3.0x4,NVMe M.2,1000,2400,1950,600,599.9,
Sandisk,unspecified model 2,PCIe 3.0x4,NVMe M.2,2000,2600,1800,1200,1219,
Kioxia,SE10,PCIe 4.0x4,NVMe M.2,1000,7300,6400,400,999,
Kioxia,SE10,PCIe 4.0x4,NVMe M.2,2000,7300,6400,800,1999,
Kioxia,RC20,PCIe 3.0x4,NVMe M.2,500,2100,1700,200,359,
Kioxia,RC20,PCIe 3.0x4,NVMe M.2,1000,2100,1700,400,589,
Kioxia,RC20,PCIe 3.0x4,NVMe M.2,2000,2100,1700,800,1219,
Kioxia,RD20,PCIe 3.0x4,NVMe M.2,500,3400,3200,200,389,
Kioxia,RD20,PCIe 3.0x4,NVMe M.2,1000,3400,3200,400,789,
Kioxia,RD20,PCIe 3.0x4,NVMe M.2,2000,3400,3200,800,1599,
ZhiTai,TiPro7000,PCIe 4.0x4,NVMe M.2,1000,7400,5400,600,1069,
ZhiTai,TiPro7000,PCIe 4.0x4,NVMe M.2,2000,7400,5400,1200,2269,
ZhiTai,TiPlus5000,PCIe 3.0x4,NVMe M.2,512,3500,2700,300,359,
ZhiTai,TiPlus5000,PCIe 3.0x4,NVMe M.2,1000,3500,3100,600,639,
ZhiTai,TiPlus5000,PCIe 3.0x4,NVMe M.2,2000,3500,3200,1200,1299,
ZhiTai,PC005,PCIe 3.0x4,NVMe M.2,256,3500,1200,200,299,
ZhiTai,PC005,PCIe 3.0x4,NVMe M.2,512,3500,2500,320,415,
ZhiTai,PC005,PCIe 3.0x4,NVMe M.2,1000,3500,2900,640,799,
